2019-04-17 19:27:06,516 p=1186 u=vibakar |  - roles/tomcat was created successfully
2019-04-17 20:06:52,892 p=2893 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:06:53,392 p=2893 u=vibakar |  fatal: [local]: FAILED! => {"changed": false, "module_stderr": "sudo: a password is required\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2019-04-17 20:06:53,394 p=2893 u=vibakar |  	to retry, use: --limit @/home/vibakar/Downloads/ILP3/roles/tomcat/server.retry

2019-04-17 20:06:53,394 p=2893 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 20:06:53,394 p=2893 u=vibakar |  local                      : ok=0    changed=0    unreachable=0    failed=1   
2019-04-17 20:07:40,819 p=2958 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 20:07:40,829 p=2958 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:07:42,194 p=2958 u=vibakar |  ok: [local]
2019-04-17 20:07:42,252 p=2958 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 20:07:42,615 p=2958 u=vibakar |  ok: [local]
2019-04-17 20:07:42,668 p=2958 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 20:07:43,849 p=2958 u=vibakar |  changed: [local]
2019-04-17 20:07:43,899 p=2958 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-17 20:07:44,315 p=2958 u=vibakar |  changed: [local]
2019-04-17 20:07:44,368 p=2958 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
